County,Year,Electricity Usage (GWh)
Stanislaus,2013,1693.1043339999999
Sutter,2013,275.095597
Tehama,2013,237.38256600000003
Trinity,2013,11.060450999999999
Tulare,2013,1206.360398
Tuolumne,2013,219.980049
Ventura,2013,1901.5415719999999
Yolo,2013,510.12366399999996
Yuba,2013,212.25406099999998
Alameda,2012,2998.246885
Alpine,2012,9.298178
Amador,2012,141.054038
Butte,2012,738.78091
Calaveras,2012,201.495546
Colusa,2012,65.641094
Contra Costa,2012,2767.5584559999998
Del Norte,2012,127.752553
El Dorado,2012,764.653388
Fresno,2012,2704.692954
Glenn,2012,93.67501800000001
Humboldt,2012,465.72747999999996
Imperial,2012,539.4198269999999
Inyo,2012,60.787463
Kern,2012,2274.029024
Kings,2012,368.995723
Lake,2012,302.17495299999996
Lassen,2012,102.337641
Los Angeles,2012,21076.224921
Madera,2012,430.30418399999996
Marin,2012,689.272331
Mariposa,2012,72.272391
Mendocino,2012,333.082898
Merced,2012,703.83237
Modoc,2012,57.505292000000004
Mono,2012,93.723883
Monterey,2012,728.447471
Napa,2012,374.240432
Nevada,2012,425.846458
Orange,2012,7069.653161
Placer,2012,1383.241309
Plumas,2012,97.580267
Riverside,2012,6672.551485
Sacramento,2012,4672.736884
San Benito,2012,117.878506
San Bernardino,2012,4770.676829
San Diego,2012,6915.310289
San Francisco,2012,1511.063574
San Joaquin,2012,1752.0795079999998
San Luis Obispo,2012,664.3648559999999
San Mateo,2012,1585.181551
Santa Barbara,2012,837.18624
Santa Clara,2012,3885.492154
Santa Cruz,2012,600.9292009999999
Shasta,2012,747.88578
Sierra,2012,14.200185000000001
Siskiyou,2012,228.134916
Solano,2012,1019.9313960000001
Sonoma,2012,1354.999241
Stanislaus,2012,1691.9490219999998
Sutter,2012,279.172837
Tehama,2012,238.812731
Trinity,2012,11.336818
Tulare,2012,1181.907166
Tuolumne,2012,220.554493
Ventura,2012,1918.700627
Yolo,2012,512.792936
Yuba,2012,215.579687
Alameda,2011,3023.83034
Alpine,2011,9.093424
Amador,2011,140.216069
Butte,2011,725.656559
Calaveras,2011,200.495354
Colusa,2011,64.365759
Contra Costa,2011,2750.847487
Del Norte,2011,132.186078
El Dorado,2011,762.542842
Fresno,2011,2589.907104
Glenn,2011,91.818337
Humboldt,2011,476.23461
Imperial,2011,513.962429
Inyo,2011,57.616488000000004
Kern,2011,2141.1075140000003
Kings,2011,354.516431
Lake,2011,298.254956
Lassen,2011,103.700947
Los Angeles,2011,20064.618265
Madera,2011,415.376062
Marin,2011,701.8897900000001
Mariposa,2011,71.83022199999999
Mendocino,2011,337.272708
Merced,2011,676.900572
Modoc,2011,61.390099
Mono,2011,95.70773
Monterey,2011,732.634857
Napa,2011,374.639179
Nevada,2011,426.02583300000003
Orange,2011,6693.243142
Placer,2011,1348.573866
Plumas,2011,101.33134100000001
Riverside,2011,6577.76536
Sacramento,2011,4624.171246
